Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,2389.909912,2389.909912,2389.909912,2389.909912,2389.909912,0
2012-01-04,2349.889893,2349.889893,2349.889893,2349.889893,2349.889893,0
2012-01-05,2315.750000,2315.750000,2315.750000,2315.750000,2315.750000,0
2012-01-06,2298.649902,2298.649902,2298.649902,2298.649902,2298.649902,0
2012-01-09,2286.449951,2286.449951,2286.449951,2286.449951,2286.449951,0
2012-01-10,2347.469971,2347.469971,2347.469971,2347.469971,2347.469971,0
2012-01-11,2339.510010,2339.510010,2339.510010,2339.510010,2339.510010,0
2012-01-12,2345.850098,2345.850098,2345.850098,2345.850098,2345.850098,0
2012-01-13,2338.010010,2338.010010,2338.010010,2338.010010,2338.010010,0
2012-01-16,2361.560059,2361.560059,2361.560059,2361.560059,2361.560059,0
2012-01-17,2396.629883,2396.629883,2396.629883,2396.629883,2396.629883,0
2012-01-18,2390.639893,2390.639893,2390.639893,2390.639893,2390.639893,0
2012-01-19,2435.040039,2435.040039,2435.040039,2435.040039,2435.040039,0
2012-01-20,2426.959961,2426.959961,2426.959961,2426.959961,2426.959961,0
2012-01-23,2441.439941,2441.439941,2441.439941,2441.439941,2441.439941,0
2012-01-24,2432.070068,2432.070068,2432.070068,2432.070068,2432.070068,0
2012-01-25,2421.120117,2421.120117,2421.120117,2421.120117,2421.120117,0
2012-01-26,2460.399902,2460.399902,2460.399902,2460.399902,2460.399902,0
2012-01-27,2436.620117,2436.620117,2436.620117,2436.620117,2436.620117,0
2012-01-30,2404.620117,2404.620117,2404.620117,2404.620117,2404.620117,0
2012-01-31,2416.659912,2416.659912,2416.659912,2416.659912,2416.659912,0
2012-02-01,2470.790039,2470.790039,2470.790039,2470.790039,2470.790039,0
2012-02-02,2478.149902,2478.149902,2478.149902,2478.149902,2478.149902,0
2012-02-03,2515.149902,2515.149902,2515.149902,2515.149902,2515.149902,0
2012-02-06,2507.889893,2507.889893,2507.889893,2507.889893,2507.889893,0
2012-02-07,2514.120117,2514.120117,2514.120117,2514.120117,2514.120117,0
2012-02-08,2512.919922,2512.919922,2512.919922,2512.919922,2512.919922,0
2012-02-09,2522.340088,2522.340088,2522.340088,2522.340088,2522.340088,0
2012-02-10,2480.760010,2480.760010,2480.760010,2480.760010,2480.760010,0
2012-02-13,2491.540039,2491.540039,2491.540039,2491.540039,2491.540039,0
2012-02-14,2488.290039,2488.290039,2488.290039,2488.290039,2488.290039,0
2012-02-15,2493.959961,2493.959961,2493.959961,2493.959961,2493.959961,0
2012-02-16,2489.340088,2489.340088,2489.340088,2489.340088,2489.340088,0
2012-02-17,2520.310059,2520.310059,2520.310059,2520.310059,2520.310059,0
2012-02-20,2550.280029,2550.280029,2550.280029,2550.280029,2550.280029,0
2012-02-21,2541.600098,2541.600098,2541.600098,2541.600098,2541.600098,0
2012-02-22,2519.000000,2519.000000,2519.000000,2519.000000,2519.000000,0
2012-02-23,2508.080078,2508.080078,2508.080078,2508.080078,2508.080078,0
2012-02-24,2523.689941,2523.689941,2523.689941,2523.689941,2523.689941,0
2012-02-27,2513.060059,2513.060059,2513.060059,2513.060059,2513.060059,0
2012-02-28,2519.719971,2519.719971,2519.719971,2519.719971,2519.719971,0
2012-02-29,2512.110107,2512.110107,2512.110107,2512.110107,2512.110107,0
2012-03-01,2548.659912,2548.659912,2548.659912,2548.659912,2548.659912,0
2012-03-02,2546.159912,2546.159912,2546.159912,2546.159912,2546.159912,0
2012-03-05,2529.860107,2529.860107,2529.860107,2529.860107,2529.860107,0
2012-03-06,2443.520020,2443.520020,2443.520020,2443.520020,2443.520020,0
2012-03-07,2460.770020,2460.770020,2460.770020,2460.770020,2460.770020,0
2012-03-08,2514.219971,2514.219971,2514.219971,2514.219971,2514.219971,0
2012-03-09,2515.949951,2515.949951,2515.949951,2515.949951,2515.949951,0
2012-03-12,2514.969971,2514.969971,2514.969971,2514.969971,2514.969971,0
2012-03-13,2556.820068,2556.820068,2556.820068,2556.820068,2556.820068,0
2012-03-14,2574.790039,2574.790039,2574.790039,2574.790039,2574.790039,0
2012-03-15,2593.969971,2593.969971,2593.969971,2593.969971,2593.969971,0
2012-03-16,2608.300049,2608.300049,2608.300049,2608.300049,2608.300049,0
2012-03-19,2608.419922,2608.419922,2608.419922,2608.419922,2608.419922,0
2012-03-20,2576.610107,2576.610107,2576.610107,2576.610107,2576.610107,0
2012-03-21,2567.580078,2567.580078,2567.580078,2567.580078,2567.580078,0
2012-03-22,2530.219971,2530.219971,2530.219971,2530.219971,2530.219971,0
2012-03-23,2525.429932,2525.429932,2525.429932,2525.429932,2525.429932,0
2012-03-26,2539.870117,2539.870117,2539.870117,2539.870117,2539.870117,0
2012-03-27,2525.209961,2525.209961,2525.209961,2525.209961,2525.209961,0
2012-03-28,2496.689941,2496.689941,2496.689941,2496.689941,2496.689941,0
2012-03-29,2452.739990,2452.739990,2452.739990,2452.739990,2452.739990,0
2012-03-30,2477.280029,2477.280029,2477.280029,2477.280029,2477.280029,0
2012-04-02,2501.179932,2501.179932,2501.179932,2501.179932,2501.179932,0
2012-04-03,2458.979980,2458.979980,2458.979980,2458.979980,2458.979980,0
2012-04-04,2398.459961,2398.459961,2398.459961,2398.459961,2398.459961,0
2012-04-05,2392.540039,2392.540039,2392.540039,2392.540039,2392.540039,0
2012-04-10,2321.530029,2321.530029,2321.530029,2321.530029,2321.530029,0
2012-04-11,2341.360107,2341.360107,2341.360107,2341.360107,2341.360107,0
2012-04-12,2352.239990,2352.239990,2352.239990,2352.239990,2352.239990,0
2012-04-13,2291.510010,2291.510010,2291.510010,2291.510010,2291.510010,0
2012-04-16,2301.189941,2301.189941,2301.189941,2301.189941,2301.189941,0
2012-04-17,2367.050049,2367.050049,2367.050049,2367.050049,2367.050049,0
2012-04-18,2327.840088,2327.840088,2327.840088,2327.840088,2327.840088,0
